,empirical_rolling_corr
2025-07-24 21:00:00,-0.32026292955649877
2025-07-24 22:00:00,-0.32078566588041496
2025-07-24 23:00:00,-0.3211237694677561
2025-07-25 00:00:00,-0.32145654867842993
2025-07-25 01:00:00,-0.3217021559076759
2025-07-25 02:00:00,-0.3218744117786326
2025-07-25 03:00:00,-0.3220053529138205
2025-07-25 04:00:00,-0.322191432280951
2025-07-25 05:00:00,-0.3224179186423466
2025-07-25 06:00:00,-0.3228890001810304
2025-07-25 07:00:00,-0.3234703651298855
2025-07-25 08:00:00,-0.3235701149838644
2025-07-25 09:00:00,-0.323694350593146
2025-07-25 10:00:00,-0.3241296929760264
2025-07-25 11:00:00,-0.3243231862528852
2025-07-25 12:00:00,-0.324200896992304
2025-07-25 13:00:00,-0.32388149453214476
2025-07-25 14:00:00,-0.32298427694668275
2025-07-25 15:00:00,-0.3223339884297855
2025-07-25 16:00:00,-0.321824164282624
2025-07-25 17:00:00,-0.32150879071485844
2025-07-25 18:00:00,-0.3217982081390731
2025-07-25 19:00:00,-0.3220616721634519
2025-07-25 20:00:00,-0.32207927763732913
2025-07-25 21:00:00,-0.32184025569152525
2025-07-25 22:00:00,-0.32174227283968776
2025-07-25 23:00:00,-0.3218884299702748
2025-07-26 00:00:00,-0.3220965750950113
2025-07-26 01:00:00,-0.3222958928486652
2025-07-26 02:00:00,-0.3224705540992205
2025-07-26 03:00:00,-0.32261407126348834
2025-07-26 04:00:00,-0.32276868532256064
2025-07-26 05:00:00,-0.32286226741251434
2025-07-26 06:00:00,-0.32304261837715675
2025-07-26 07:00:00,-0.3233102137536296
2025-07-26 08:00:00,-0.32336288399709445
2025-07-26 09:00:00,-0.3231738454569497
2025-07-26 10:00:00,-0.32183115118387845
2025-07-26 11:00:00,-0.32038309348860616
2025-07-26 12:00:00,-0.31862320032859043
2025-07-26 13:00:00,-0.3166109696862258
2025-07-26 14:00:00,-0.31466331109059076
2025-07-26 15:00:00,-0.31312962472072464
2025-07-26 16:00:00,-0.3128636624790682
2025-07-26 17:00:00,-0.3133213782532353
2025-07-26 18:00:00,-0.31404884404976063
2025-07-26 19:00:00,-0.3148377903059615
2025-07-26 20:00:00,-0.31560905481922935
2025-07-26 21:00:00,-0.3162395343282601
2025-07-26 22:00:00,-0.3169718891895098
