time,branch,q05,q25,q50,q75,q95,mean
2025-07-30 15:00:00,Stochastic covariance,-0.41871660650668396,-0.2999762019841623,-0.19716377968213528,-0.09995713091666286,0.035171772320430644,-0.19896411175893802
2025-07-30 16:00:00,Stochastic covariance,-0.41950036758650483,-0.3008411326566781,-0.19704373976306438,-0.10016169985798777,0.03433978141540398,-0.19915613245558628
2025-07-30 17:00:00,Stochastic covariance,-0.41934791632148366,-0.30071581573219497,-0.19688556382439282,-0.09918406545534046,0.03357262419017104,-0.19929063493713747
2025-07-30 18:00:00,Stochastic covariance,-0.4186414711115639,-0.30135573872895544,-0.1963561679302698,-0.09847627891544947,0.033043477109458985,-0.19933657447095665
2025-07-30 19:00:00,Stochastic covariance,-0.4169119570796216,-0.3010258970523144,-0.1960739075111516,-0.09857403358724086,0.0327436808683949,-0.19935053677435066
2025-07-30 20:00:00,Stochastic covariance,-0.4159466100033688,-0.30125302168090523,-0.19581769621995368,-0.09860354951827846,0.033140035732036166,-0.19935174647124504
2025-07-30 21:00:00,Stochastic covariance,-0.416272018272879,-0.30128973091240774,-0.19550436656812814,-0.09859040721191456,0.03376736900920532,-0.1993540185894909
2025-07-30 22:00:00,Stochastic covariance,-0.41613281164035015,-0.3012514857167781,-0.1953584247638476,-0.09890815243977909,0.03386940237921591,-0.19936328704178102
2025-07-30 23:00:00,Stochastic covariance,-0.4159382119191358,-0.30120790768356664,-0.19623341525162635,-0.09880681012377375,0.034082348782964185,-0.19940008979283094
2025-07-31 00:00:00,Stochastic covariance,-0.41581275958403824,-0.3004427137785842,-0.19685492686399247,-0.09898066346586944,0.0344517895137692,-0.1991715587755114
2025-07-31 01:00:00,Stochastic covariance,-0.41567359204238186,-0.29921367254451176,-0.19755272715416392,-0.09926304396297023,0.035090184566151615,-0.19894559218852592
2025-07-31 02:00:00,Stochastic covariance,-0.41511154629573693,-0.29920941249625355,-0.1979728633990726,-0.09978343968955361,0.03599884283100185,-0.19875842715163894
2025-07-31 03:00:00,Stochastic covariance,-0.41381058467138404,-0.2996160742046175,-0.19879022554712483,-0.09992702899569701,0.036881678596075544,-0.19852696417550955
2025-07-31 04:00:00,Stochastic covariance,-0.4127834958625422,-0.3001509777326754,-0.19856751686597307,-0.10030446484703306,0.038605758068721616,-0.19827476860960777
2025-07-31 05:00:00,Stochastic covariance,-0.41312687477355514,-0.3004449745608131,-0.19828329789923227,-0.10046839212255854,0.04078314515664904,-0.19796410282203822
2025-07-31 06:00:00,Stochastic covariance,-0.41321021764365523,-0.30070124224248107,-0.19822357868782267,-0.10062124479872636,0.04269071971337581,-0.19775659428756803
2025-07-31 07:00:00,Stochastic covariance,-0.4125943701195941,-0.3011088675890634,-0.19837859604413252,-0.1005115171912817,0.04253869800880742,-0.19764184902790924
2025-07-31 08:00:00,Stochastic covariance,-0.4124185279636827,-0.3015033832184887,-0.19750605388405185,-0.10034942148353604,0.04290426069834361,-0.19752622848331225
2025-07-31 09:00:00,Stochastic covariance,-0.4125263166334677,-0.3021115320078693,-0.19804115527146945,-0.10049117903326116,0.048105651699046764,-0.19746506187204788
2025-07-31 10:00:00,Stochastic covariance,-0.41286913131852354,-0.3029146611006536,-0.19723804603511985,-0.10049338195982377,0.04798187292263262,-0.1973473264319435
2025-07-31 11:00:00,Stochastic covariance,-0.41321666562745435,-0.30380108082158774,-0.1974370912821916,-0.10046787895428663,0.04915052233909203,-0.19723640345944754
2025-07-31 12:00:00,Stochastic covariance,-0.4140603568147173,-0.3043518160711487,-0.19770665896659156,-0.10040917321794217,0.05388166701189051,-0.1970631857303861
2025-07-31 13:00:00,Stochastic covariance,-0.41467728178363183,-0.3027041984457874,-0.19811742844964475,-0.10065447676671352,0.05897370769297765,-0.1967853701005177
2025-07-31 14:00:00,Stochastic covariance,-0.4152603311255571,-0.3034193163108429,-0.19846128581553177,-0.09750198965294622,0.06163363826413225,-0.19649728504369723
