time,branch,window,q05,q50,q95,mean
2025-06-30 23:00:00,Stochastic covariance,336,-0.697328182047724,-0.31255618296595045,0.14062611089956492,-0.2859875098794273
2025-07-01 00:00:00,Stochastic covariance,336,-0.6974189584613214,-0.3083170126329523,0.14386505501987312,-0.286041141557564
2025-07-01 01:00:00,Stochastic covariance,336,-0.6990149699116766,-0.30473900350026434,0.14851421630272996,-0.28606965927977474
2025-07-01 02:00:00,Stochastic covariance,336,-0.7002282935542797,-0.301325854702332,0.15128062342831142,-0.28600491435156267
2025-07-01 03:00:00,Stochastic covariance,336,-0.700039021836243,-0.30148657186524086,0.14956794805320497,-0.2862590898497551
2025-07-01 04:00:00,Stochastic covariance,336,-0.6984268353987153,-0.30316884978157377,0.15148508763227592,-0.28629471169977844
2025-07-01 05:00:00,Stochastic covariance,336,-0.6968248448530507,-0.3037168647902615,0.1529432838873677,-0.2863423800341178
2025-07-01 06:00:00,Stochastic covariance,336,-0.6951977257311249,-0.30179631061180395,0.1519499274444965,-0.2861773666587585
2025-07-01 07:00:00,Stochastic covariance,336,-0.694288557535439,-0.3001599497507375,0.14807535238642372,-0.28576358427675397
2025-07-01 08:00:00,Stochastic covariance,336,-0.6941241385698614,-0.30061800273164324,0.14714396133430793,-0.28530315275476587
2025-07-01 09:00:00,Stochastic covariance,336,-0.6938179900119017,-0.30075377938608133,0.15172525119440197,-0.284810590847139
2025-07-01 10:00:00,Stochastic covariance,336,-0.6937191525932087,-0.2991226455240389,0.1540534953719597,-0.28432953165325997
2025-07-01 11:00:00,Stochastic covariance,336,-0.6928992844889339,-0.29590431187999944,0.160793968105569,-0.2837416964734894
2025-07-01 12:00:00,Stochastic covariance,336,-0.6927228403443878,-0.3032413953760423,0.16782126859974547,-0.2832755975345057
2025-07-01 13:00:00,Stochastic covariance,336,-0.6927939224080386,-0.3047280360219812,0.16880903536268058,-0.2830735922470933
2025-07-01 14:00:00,Stochastic covariance,336,-0.6925834515023412,-0.3037250509354814,0.1722605041297967,-0.28307928212443717
2025-07-01 15:00:00,Stochastic covariance,336,-0.693763785110945,-0.3044039503667024,0.1733798457485067,-0.28341527944444994
2025-07-01 16:00:00,Stochastic covariance,336,-0.6953270320826535,-0.3014388536549121,0.1792282479997639,-0.28372217091729196
2025-07-01 17:00:00,Stochastic covariance,336,-0.69837072638598,-0.3000898706708127,0.18467921284501618,-0.2839491242478483
2025-07-01 18:00:00,Stochastic covariance,336,-0.6991135754556633,-0.3004739958440832,0.18526764406994564,-0.2841767878534392
2025-07-01 19:00:00,Stochastic covariance,336,-0.698775036741048,-0.30095622261793653,0.1858156096351885,-0.2846458481898124
2025-07-01 20:00:00,Stochastic covariance,336,-0.6998232200959025,-0.2960652644222619,0.18490173588275852,-0.2850477425545832
2025-07-01 21:00:00,Stochastic covariance,336,-0.7013411684248083,-0.2951136182786428,0.1848388373898967,-0.28542658180843805
2025-07-01 22:00:00,Stochastic covariance,336,-0.7003567786590186,-0.2939049352414781,0.18571321563008386,-0.2856404486513103
2025-07-01 23:00:00,Stochastic covariance,336,-0.6997304776228748,-0.2930969257860242,0.18497046324594,-0.2857078150580469
2025-07-02 00:00:00,Stochastic covariance,336,-0.7001576169823082,-0.2947346255480766,0.18386234440030633,-0.28578295370171014
2025-07-02 01:00:00,Stochastic covariance,336,-0.7010308847199239,-0.2965251996448157,0.1880447164917401,-0.2859162112634848
2025-07-02 02:00:00,Stochastic covariance,336,-0.7014849838188948,-0.2976736380163367,0.19811209805960314,-0.2858888518562792
2025-07-02 03:00:00,Stochastic covariance,336,-0.7003012524505448,-0.29691125264766227,0.20556888975201096,-0.2860646593693902
2025-07-02 04:00:00,Stochastic covariance,336,-0.6974830144678753,-0.29411787476258755,0.210961109760387,-0.2864195768233283
2025-07-02 05:00:00,Stochastic covariance,336,-0.6958593962964811,-0.2956427042837698,0.21207295784830232,-0.28682526885364473
2025-07-02 06:00:00,Stochastic covariance,336,-0.6939848471297568,-0.2961548000266645,0.20975359450805287,-0.2871743223320662
2025-07-02 07:00:00,Stochastic covariance,336,-0.6948186109085848,-0.2998706105112507,0.20514814178430646,-0.2874604226680683
2025-07-02 08:00:00,Stochastic covariance,336,-0.6972702331128013,-0.29914368350411114,0.2025720928532015,-0.2873760610816861
2025-07-02 09:00:00,Stochastic covariance,336,-0.6986958778884098,-0.30034653943441125,0.19772395832848005,-0.2873069266261139
2025-07-02 10:00:00,Stochastic covariance,336,-0.7005587604190262,-0.29680006259571673,0.19529412698350498,-0.28714010102035153
2025-07-02 11:00:00,Stochastic covariance,336,-0.7020626499150466,-0.29593778171799434,0.19435961424059273,-0.28714732616640765
2025-07-02 12:00:00,Stochastic covariance,336,-0.7026664709111671,-0.29945192891353023,0.19613693884173639,-0.28756636889215076
2025-07-02 13:00:00,Stochastic covariance,336,-0.7017630226145616,-0.3011627723795003,0.19954758564453376,-0.28777982935240065
2025-07-02 14:00:00,Stochastic covariance,336,-0.7016757250700152,-0.30094332770702487,0.20179520652686997,-0.2877986885417907
2025-07-02 15:00:00,Stochastic covariance,336,-0.7024163538535396,-0.3053423700797271,0.20497192916754722,-0.28772041061535647
2025-07-02 16:00:00,Stochastic covariance,336,-0.7014853436027398,-0.306237559269651,0.20895033947348382,-0.28773672520628923
2025-07-02 17:00:00,Stochastic covariance,336,-0.7021120410670005,-0.30510198938260136,0.20776132558944288,-0.28773974840893946
2025-07-02 18:00:00,Stochastic covariance,336,-0.7032934366879866,-0.3079707061771189,0.20804410834418735,-0.2878841969389373
2025-07-02 19:00:00,Stochastic covariance,336,-0.7028752573794426,-0.3077048414598328,0.2012131918703146,-0.28807207085987285
2025-07-02 20:00:00,Stochastic covariance,336,-0.701434437823763,-0.30778650146764075,0.19894554127078928,-0.2881754130103133
2025-07-02 21:00:00,Stochastic covariance,336,-0.6999219977092349,-0.30664644368247584,0.19745675440718158,-0.2882313918888114
2025-07-02 22:00:00,Stochastic covariance,336,-0.6990030868593342,-0.30530728496925064,0.19647819264027436,-0.28825694064456225
2025-07-02 23:00:00,Stochastic covariance,336,-0.6992850851454558,-0.3061771500281255,0.19576127354661707,-0.2882577217090604
2025-07-03 00:00:00,Stochastic covariance,336,-0.6995578823368778,-0.3062816024004226,0.19340364454124045,-0.2883643305546543
2025-07-03 01:00:00,Stochastic covariance,336,-0.7001610433178121,-0.3080570952198691,0.19131337367119952,-0.2883959008890688
2025-07-03 02:00:00,Stochastic covariance,336,-0.7004009871174066,-0.3089502183752921,0.19111940409546807,-0.2883696744836113
2025-07-03 03:00:00,Stochastic covariance,336,-0.7004445427061867,-0.31301273659160567,0.19241938748750226,-0.28823111719078853
