method,side,wind_state,intensity_year_inv,ci_low,ci_high,bandwidth,local_exposure_years,local_observations,weighted_event_count_proxy,monotone_increasing_projection
corrected low-price negative spikes,negative,0.30244980555555584,1.371882240512441,0.10454266582168148,2.6392218152032,0.25,6.162486112631895,29826,2.1135513138310618,1.6297465640426327
corrected low-price negative spikes,negative,0.3069490333333336,1.372322287725218,0.11010756703160185,2.634537008418834,0.25,6.036660451174199,29230,2.0710609201439305,1.6297465640426327
corrected low-price negative spikes,negative,0.3114482611111114,1.3780462824370219,0.12155690841686106,2.6345356564571825,0.25,5.913269997346092,28628,2.03718993422229,1.6297465640426327
corrected low-price negative spikes,negative,0.3159474888888892,1.3923382075359538,0.14144262276335406,2.6432337923085534,0.25,5.792828407903676,28010,2.0163940805059895,1.6297465640426327
corrected low-price negative spikes,negative,0.32044671666666696,1.4044119287055843,0.1586736064289691,2.6501502509821995,0.25,5.675495021864221,27443,1.9926832275038182,1.6297465640426327
corrected low-price negative spikes,negative,0.32494594444444475,1.4142991865328562,0.17291524113334522,2.655683131932367,0.25,5.560513345229451,26917,1.966057375215776,1.6297465640426327
corrected low-price negative spikes,negative,0.3294451722222225,1.4217728130629927,0.18376760018533678,2.659778025940649,0.25,5.448174295779177,26371,1.9365165236418624,1.6297465640426327
corrected low-price negative spikes,negative,0.3339444000000003,1.4268005862133537,0.19081410981363822,2.662787062613069,0.25,5.3379867969786705,25876,1.9040606727820775,1.6297465640426327
corrected low-price negative spikes,negative,0.3384436277777781,1.429152639729889,0.1935706472949248,2.664734632164853,0.25,5.230203606494,25310,1.8686898226364217,1.6297465640426327
corrected low-price negative spikes,negative,0.34294285555555587,1.428469508195035,0.19149186952269015,2.66544714686738,0.25,5.125496799767832,24754,1.830403973204895,1.6297465640426327
corrected low-price negative spikes,negative,0.34744208333333365,1.429216279362522,0.18849822939859617,2.669934329326448,0.25,5.023298433281143,24255,1.7948449742354153,1.6297465640426327
corrected low-price negative spikes,negative,0.35194131111111143,1.4522920845812934,0.2041110381081528,2.700473131054434,0.25,4.9240544610172545,23697,1.7877913294456413,1.6297465640426327
corrected low-price negative spikes,negative,0.3564405388888892,1.4860686474351232,0.22459637578572367,2.747540919084523,0.25,4.827474949529213,23182,1.7934897921934545,1.6297465640426327
corrected low-price negative spikes,negative,0.360939766666667,1.5171106439287265,0.2357064360446195,2.7985148518128335,0.25,4.733475693183827,22672,1.7953015892267727,1.6297465640426327
corrected low-price negative spikes,negative,0.3654389944444448,1.5450791942626458,0.23675747123285218,2.8534009172924395,0.25,4.642420213033476,22141,1.7932267205455958,1.6297465640426327
corrected low-price negative spikes,negative,0.36993822222222256,1.5788959619409761,0.236180172050793,2.9216117518311595,0.25,4.554215871894252,21645,1.7976582624853341,1.6297465640426327
corrected low-price negative spikes,negative,0.37443745000000034,1.6417276305428778,0.2559794271888798,3.027475833896876,0.25,4.468281475005278,21221,1.8339252896397626,1.6417276305428778
corrected low-price negative spikes,negative,0.3789366777777781,1.7095119597431794,0.2728670577249752,3.1461568617613835,0.25,4.38454309036819,20732,1.8738572127484352,1.7095119597431794
corrected low-price negative spikes,negative,0.3834359055555559,1.8111803803513937,0.31654765292296627,3.305813107779821,0.25,4.302883384292437,20314,1.9483244911426172,1.8111803803513937
corrected low-price negative spikes,negative,0.3879351333333337,1.9269904017406314,0.3673020095894932,3.4866787938917696,0.25,4.223671831441061,19885,2.0347437698223,1.9269904017406314
