method,side,wind_state,intensity_year_inv,bandwidth
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.07533666666666665,0.3428382068394721,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.07987645833333332,0.3408017731753885,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.08441624999999998,0.33874574833519433,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.08895604166666665,0.3366689067531071,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.09349583333333332,0.33456815968093934,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.09803562499999997,0.33245005600442484,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.10257541666666664,0.33031213956918865,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.10711520833333331,0.3281465605919855,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.11165499999999998,0.32595532693074786,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.11619479166666664,0.3237467381083745,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.12073458333333331,0.32151240156705724,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.125274375,0.3192501372631982,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.12981416666666665,0.3169689650568381,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.13435395833333333,0.3146660812240967,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.13889374999999998,0.312340037314845,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.14343354166666666,0.30998891445992405,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.14797333333333332,0.30761197038641436,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.15251312499999997,0.3052018369754315,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.15705291666666665,0.30276120104278037,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.1615927083333333,0.30028618278238006,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.1661325,0.29777126355027606,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.17067229166666664,0.2952156462537977,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.17521208333333332,0.2926193675000443,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.17975187499999998,0.2899811724991468,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.18429166666666666,0.28728355593997534,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.1888314583333333,0.284532358517021,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.19337124999999997,0.28171767426019545,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.19791104166666665,0.27883174824915385,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.2024508333333333,0.275862363270885,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.20699062499999998,0.27280699817975146,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.21153041666666664,0.2696607754568338,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.21607020833333332,0.2664168078727485,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.22060999999999997,0.26305967403220665,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.22514979166666663,0.2595825651382642,0.24514874999999997
