method,side,wind_state,intensity_year_inv,bandwidth,estimator_type
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8499999999999999,3.0380545298807093,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8549999999999999,2.9771810141510624,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8599999999999999,2.9045726339735753,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8649999999999999,2.8185197275206297,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8699999999999999,2.717221203319037,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8749999999999999,2.598777013015135,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8799999999999999,2.4616196707690663,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8849999999999999,2.3026178250634093,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8899999999999999,2.117973336832431,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8949999999999999,1.9047015286726352,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.8999999999999999,1.6590424729682085,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9049999999999999,1.3765177554158239,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9099999999999999,1.0516487869123698,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9149999999999999,0.677682916792229,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9199999999999999,0.2480271816757909,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9249999999999999,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9299999999999999,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.9349999999999999,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.94,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.945,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",negative,0.95,0.0,0.25,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.05,6.211551505738471,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.055,6.177637807559145,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.06,6.14311130186056,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.065,6.107953956241344,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.07,6.072109387413769,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.075,6.035873678366043,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.08,5.999277864604734,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.08499999999999999,5.962337083341024,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.09,5.925122039693836,0.3,paper_kernel
